Freq	DF_LOWSHELF(FREQ,350,3.5,0,48000)
+DF_HIGHSHELF(FREQ,3500,-2.5,0,48000)
20.000000	3.499974
20.141602	3.499974
20.507812	3.499972
20.874023	3.499970
21.240234	3.499967
21.606445	3.499965
21.972656	3.499963
22.338867	3.499960
22.705078	3.499957
23.071289	3.499955
23.437500	3.499952
23.803711	3.499949
24.169922	3.499945
24.536133	3.499942
24.902344	3.499938
25.268555	3.499935
25.634766	3.499931
26.000977	3.499927
26.367188	3.499923
26.733398	3.499918
27.099609	3.499914
27.465820	3.499909
27.832031	3.499904
28.198242	3.499899
28.564453	3.499893
28.930664	3.499888
29.296875	3.499882
29.663086	3.499876
30.000000	3.499870
30.029297	3.499870
30.395508	3.499863
30.761719	3.499857
31.127930	3.499850
31.494141	3.499843
31.860352	3.499835
32.226562	3.499827
32.592773	3.499819
32.958984	3.499811
33.325195	3.499803
33.691406	3.499794
34.057617	3.499785
34.423828	3.499775
34.790039	3.499766
35.156250	3.499756
35.522461	3.499745
35.888672	3.499735
36.254883	3.499724
36.621094	3.499712
36.987305	3.499700
37.353516	3.499688
37.719727	3.499676
38.085938	3.499663
38.452148	3.499650
38.818359	3.499637
39.184570	3.499623
39.550781	3.499608
39.916992	3.499594
40.000000	3.499590
40.283203	3.499579
40.649414	3.499563
41.015625	3.499547
41.381836	3.499531
41.748047	3.499514
42.114258	3.499497
42.480469	3.499479
42.846680	3.499461
43.212891	3.499442
43.579102	3.499423
43.945312	3.499403
44.311523	3.499383
44.677734	3.499362
45.043945	3.499341
45.410156	3.499320
45.776367	3.499297
46.142578	3.499275
46.508789	3.499251
46.875000	3.499227
47.241211	3.499203
47.607422	3.499178
47.973633	3.499152
48.339844	3.499126
48.706055	3.499100
49.072266	3.499072
49.438477	3.499044
49.804688	3.499016
50.000000	3.499000
50.170898	3.498986
50.537109	3.498956
50.903320	3.498926
51.269531	3.498895
51.635742	3.498863
52.001953	3.498830
52.368164	3.498797
52.734375	3.498763
53.100586	3.498728
53.466797	3.498693
53.833008	3.498656
54.199219	3.498619
54.565430	3.498582
54.931641	3.498543
55.297852	3.498504
55.664062	3.498464
56.030273	3.498423
56.396484	3.498382
56.762695	3.498339
57.128906	3.498296
57.495117	3.498252
57.861328	3.498207
58.227539	3.498161
58.593750	3.498115
58.959961	3.498067
59.326172	3.498019
59.692383	3.497969
60.000000	3.497927
60.058594	3.497919
60.424805	3.497868
60.791016	3.497816
61.157227	3.497763
61.523438	3.497709
61.889648	3.497654
62.255859	3.497598
62.622070	3.497541
62.988281	3.497483
63.354492	3.497424
63.720703	3.497364
64.086914	3.497302
64.453125	3.497240
64.819336	3.497177
65.185547	3.497113
65.551758	3.497047
65.917969	3.496981
66.284180	3.496913
66.650391	3.496845
67.016602	3.496775
67.382812	3.496704
67.749023	3.496632
68.115234	3.496558
68.481445	3.496484
68.847656	3.496408
69.213867	3.496331
69.580078	3.496253
69.946289	3.496173
70.000000	3.496162
70.312500	3.496093
70.678711	3.496011
71.044922	3.495928
71.411133	3.495843
71.777344	3.495757
72.143555	3.495670
72.509766	3.495582
72.875977	3.495492
73.242188	3.495401
73.608398	3.495308
73.974609	3.495214
74.340820	3.495119
74.707031	3.495022
75.073242	3.494924
75.439453	3.494824
75.805664	3.494723
76.171875	3.494621
76.538086	3.494517
76.904297	3.494411
77.270508	3.494304
77.636719	3.494196
78.002930	3.494085
78.369141	3.493974
78.735352	3.493861
79.101562	3.493746
79.467773	3.493629
79.833984	3.493511
80.000000	3.493457
80.200195	3.493392
80.566406	3.493270
80.932617	3.493147
81.298828	3.493023
81.665039	3.492897
82.031250	3.492769
