*lowshelf  27.5	 Hz	, 0.0 dB
*lowshelf  55.0	 Hz	,-0.5 dB
*lowshelf  110.0 Hz	, 8.5 dB
*highshelf 220.0 Hz	,-1.5 dB
*highshelf 440.0 Hz	, 0.0 dB
*highshelf 880.0 Hz	,-0.5 dB
*highshelf 1760	 Hz	,-1.0 dB
*highshelf 3520	 Hz	,-0.5 dB
*highshelf 7040	 Hz	,-0.5 dB
*highshelf 14080 Hz	,-2.0 dB
*Freq	spl
20.000000	8.003928
20.507812	8.004328
20.874023	8.004633
21.606445	8.005287
21.972656	8.005637
23.071289	8.006782
23.437500	8.007195
24.169922	8.008072
24.536133	8.008535
25.634766	8.010024
26.000977	8.010555
27.465820	8.012842
27.832031	8.013454
28.930664	8.015385
29.296875	8.016058
30.761719	8.018888
31.127930	8.019626
32.592773	8.022680
32.958984	8.023463
34.423828	8.026645
34.790039	8.027446
36.621094	8.031412
36.987305	8.032186
38.818359	8.035858
39.184570	8.036539
41.015625	8.039557
41.381836	8.040067
43.579102	8.042266
43.945312	8.042465
46.142578	8.042417
46.508789	8.042177
48.706055	8.039104
49.072266	8.038295
51.635742	8.029923
52.001953	8.028310
54.931637	8.011223
55.297848	8.008531
58.227535	7.982169
58.593746	7.978244
61.523434	7.941511
61.889645	7.936234
65.185547	7.881611
65.551758	7.874734
69.213867	7.796884
69.580078	7.788182
73.242188	7.691928
73.608398	7.681380
77.636719	7.554371
78.002930	7.541837
82.397461	7.378905
82.763672	7.364306
87.158195	7.177395
87.524406	7.160872
92.285149	6.933694
92.651360	6.915309
97.778313	6.645565
98.144524	6.625471
103.637688	6.312615
104.003899	6.291063
109.863274	5.936663
110.229485	5.913994
116.455070	5.521884
116.821281	5.498506
123.413078	5.074671
123.779289	5.051038
130.737305	4.603230
131.103516	4.579802
138.427734	4.116952
138.793945	4.094162
146.484375	3.625676
146.850586	3.603901
155.273422	3.118512
155.639633	3.098117
164.794907	2.608951
165.161118	2.590233
174.316391	2.144065
174.682602	2.127092
184.936508	1.678929
185.302719	1.663878
195.922836	1.255014
196.289047	1.241844
207.641586	0.862519
208.007797	0.851183
219.726547	0.515925
220.092758	0.506270
232.910141	0.196845
233.276352	0.188776
246.826157	-0.082880
247.192368	-0.089538
261.474609	-0.324522
261.840820	-0.329956
276.855438	-0.530634
277.221649	-0.535028
293.334930	-0.708132
293.701141	-0.711643
310.913055	-0.858660
311.279266	-0.861438
329.589813	-0.984788
329.956024	-0.986973
