*LS 12dB 87.31	 Hz	 +6.5 dB
*HS 12dB 2489.02 Hz	 -2.5 dB
*
*Freq	spl
20.000000	6.490735
20.507812	6.489760
20.874023	6.489010
21.606445	6.487388
21.972656	6.486513
23.071289	6.483615
23.437500	6.482553
24.169922	6.480276
24.536133	6.479058
25.634766	6.475066
26.000977	6.473617
27.465820	6.467189
27.832031	6.465415
28.930664	6.459664
29.296875	6.457599
30.761719	6.448546
31.127930	6.446076
32.592773	6.435314
32.958984	6.432394
34.423828	6.419736
34.790039	6.416318
36.621094	6.397613
36.987305	6.393536
38.818359	6.371363
39.184570	6.366558
41.015625	6.340581
41.381836	6.334982
43.579102	6.298419
43.945312	6.291814
46.142578	6.248970
46.508789	6.241280
48.706055	6.191709
49.072266	6.182864
51.635742	6.116131
52.001953	6.105898
54.931637	6.017581
55.297848	6.005727
58.227535	5.904308
58.593746	5.890806
61.523434	5.776244
61.889645	5.761111
65.185547	5.617006
65.551758	5.600133
69.213867	5.422436
69.580078	5.403804
73.242188	5.209597
73.608398	5.189434
77.636719	4.959870
78.002930	4.938360
82.397461	4.673553
82.763672	4.651012
87.158195	4.376631
87.524406	4.353524
92.285149	4.051870
92.651360	4.028657
97.778313	3.705880
98.144524	3.683069
103.637688	3.347158
104.003899	3.325258
109.863274	2.985309
110.229485	2.964774
116.455070	2.630060
116.821281	2.611252
123.413078	2.290284
123.779289	2.273441
130.737305	1.973208
131.103516	1.958437
138.427734	1.683943
138.793945	1.671236
146.484375	1.425374
146.850586	1.414625
155.273422	1.189381
155.639633	1.180493
164.794907	0.980076
165.161118	0.972875
174.316391	0.810680
174.682602	0.804856
184.936508	0.659622
185.302719	0.655021
195.922836	0.536480
196.289047	0.532862
207.641586	0.433739
208.007797	0.430924
219.726547	0.351327
220.092758	0.349137
232.910141	0.281869
233.276352	0.280188
246.826157	0.225722
247.192368	0.224438
261.474609	0.180595
261.840820	0.179615
276.855438	0.144461
277.221649	0.143713
293.334930	0.115018
293.701141	0.114451
310.913055	0.091229
311.279266	0.090800
329.589813	0.072117
329.956024	0.071792
348.998993	0.057054
349.365204	0.056807
369.873016	0.044730
370.239227	0.044542
391.845673	0.034830
392.211884	0.034686
415.283173	0.026706
415.649384	0.026594
439.819305	0.020079
440.185516	0.019991
465.820282	0.014498
466.186493	0.014428
493.652313	0.009630
494.018524	0.009572
522.949219	0.005307
523.315430	0.005257
554.077087	0.001254
554.443298	0.001209
587.036072	-0.002727
587.402283	-0.002771
622.192322	-0.006879
622.558533	-0.006922
659.179626	-0.011361
659.545837	-0.011407
698.364197	-0.016438
698.730408	-0.016488
739.746033	-0.022353
740.112244	-0.022408
783.691345	-0.029440
784.057556	-0.029503
830.566345	-0.038106
830.932556	-0.038178
879.638611	-0.048602
880.004822	-0.048686
932.006775	-0.061628
932.372986	-0.061726
987.670837	-0.077781
988.037048	-0.077896
1046.264526	-0.097614
1046.630737	-0.097748
1108.520386	-0.122147
1108.886597	-0.122302
1174.438354	-0.152293
1174.804565	-0.152473
1244.384644	-0.189243
1244.750854	-0.189451
1318.359253	-0.234095
1318.725464	-0.234332
1396.728394	-0.288192
1397.094604	-0.288461
1479.858276	-0.352889
1480.224487	-0.353190
1567.748901	-0.429097
1568.115112	-0.429431
1661.132690	-0.518059
1661.498901	-0.518423
1759.643433	-0.619493
1760.009644	-0.619883
1864.379761	-0.733904
1864.745972	-0.734313
1975.341675	-0.859844
1975.707886	-0.860264
2092.895264	-0.995313
2093.261475	-0.995735
2217.406982	-1.137444
2217.773193	-1.137857
2349.242920	-1.282696
2349.609131	-1.283089
2488.769287	-1.427188
2489.135498	-1.427552
2636.718506	-1.567436
2637.084717	-1.567765
2793.456787	-1.699968
2793.822998	-1.700258
2959.716553	-1.822314
2960.082764	-1.822563
3135.864014	-1.932557
3136.230225	-1.932767
3322.265381	-2.029742
3322.631592	-2.029915
3519.653076	-2.113907
3520.019287	-2.114048
3729.125732	-2.185764
3729.491943	-2.185876
3951.049561	-2.246137
3951.415771	-2.246226
4185.790527	-2.296180
4186.156738	-2.296248
4434.813965	-2.337355
4435.180176	-2.337408
4698.485840	-2.370872
4698.852051	-2.370912
4977.904785	-2.397977
4978.270996	-2.398008
5273.803223	-2.419744
5274.169434	-2.419767
5587.645996	-2.437155
5588.012207	-2.437172
5919.799316	-2.450984
5920.165527	-2.450998
6271.728027	-2.461936
6272.094238	-2.461946
6644.896973	-2.470581
6645.263184	-2.470588
7039.672363	-2.477362
7040.038574	-2.477368
7458.251465	-2.482676
7458.617676	-2.482680
7902.099121	-2.486823
7902.465332	-2.486826
8371.947266	-2.490040
8372.313477	-2.490042
8869.627930	-2.492528
8869.994141	-2.492530
9396.971680	-2.494443
9397.337891	-2.494444
9955.809570	-2.495908
9956.175781	-2.495909
10547.972656	-2.497023
10548.338867	-2.497023
11175.291992	-2.497864
11175.658203	-2.497864
11839.598633	-2.498492
11839.964844	-2.498492
12543.456055	-2.498957
12543.822266	-2.498957
13289.793945	-2.499296
13290.160156	-2.499297
14079.710938	-2.499540
14080.077148	-2.499540
14916.869141	-2.499710
14917.235352	-2.499710
15804.198242	-2.499827
15804.564453	-2.499827
16743.894531	-2.499903
16744.261719	-2.499903
17739.257812	-2.499951
17739.621094	-2.499951
18794.308594	-2.499978
18794.675781	-2.499978
19911.984375	-2.499992
19912.351562	-2.499992
20000.000000	-2.499993
