FREQ	GAIN
20.000000	5.987261
20.141602	5.986898
20.507812	5.985924
20.874023	5.984897
21.240234	5.983815
21.339000	5.983514
21.606445	5.982676
21.705000	5.982360
21.972656	5.981479
22.072000	5.981144
22.338867	5.980220
22.438000	5.979869
22.705078	5.978899
22.804000	5.978532
23.071289	5.977514
23.170000	5.977129
23.437500	5.976061
23.537000	5.975655
23.803711	5.974540
23.903000	5.974115
24.169922	5.972948
24.269000	5.972505
24.536133	5.971283
24.635000	5.970821
24.902344	5.969543
25.001000	5.969061
25.268555	5.967726
25.368000	5.967219
25.634766	5.965830
25.734000	5.965302
26.000977	5.963852
26.100000	5.963303
26.367188	5.961791
26.466000	5.961220
26.733398	5.959643
26.832000	5.959050
27.099609	5.957408
27.199000	5.956786
27.465820	5.955082
27.565000	5.954436
27.832031	5.952664
27.931000	5.951994
28.198242	5.950150
28.297000	5.949456
28.564453	5.947540
28.663000	5.946820
28.930664	5.944830
29.030000	5.944077
29.296875	5.942018
29.396000	5.941239
29.663086	5.939102
29.762000	5.938296
30.000000	5.936326
30.029297	5.936080
30.128000	5.935247
30.395508	5.932949
30.495000	5.932079
30.761719	5.929706
30.861000	5.928808
31.127930	5.926351
31.227000	5.925423
31.494141	5.922879
31.593000	5.921922
31.860352	5.919289
31.959000	5.918302
32.226562	5.915579
32.326000	5.914550
32.592773	5.911745
32.692000	5.910685
32.958984	5.907786
33.058000	5.906694
33.325195	5.903700
33.424000	5.902575
33.691406	5.899483
33.790000	5.898326
34.057617	5.895134
34.157000	5.893931
34.423828	5.890651
34.523000	5.889413
34.790039	5.886030
34.889000	5.884757
35.156250	5.881269
35.255000	5.879962
35.522461	5.876367
35.621000	5.875024
35.888672	5.871321
35.988000	5.869927
36.254883	5.866129
36.354000	5.864698
36.621094	5.860787
36.720000	5.859319
36.987305	5.855295
37.086000	5.853789
37.353516	5.849650
37.452000	5.848105
37.719727	5.843849
37.819000	5.842250
38.085938	5.837891
38.185000	5.836252
38.452148	5.831773
38.551000	5.830093
38.818359	5.825492
38.917000	5.823773
39.184570	5.819048
39.284000	5.817270
39.550781	5.812438
39.650000	5.810618
39.916992	5.805659
40.000000	5.804099
40.016000	5.803798
40.283203	5.798711
40.382000	5.796807
40.649414	5.791590
40.748000	5.789643
41.015625	5.784294
41.115000	5.782284
41.381836	5.776823
41.481000	5.774769
41.748047	5.769173
41.847000	5.767076
42.114258	5.761344
42.213000	5.759202
42.480469	5.753333
42.579000	5.751146
42.846680	5.745139
42.946000	5.742884
43.212891	5.736759
43.312000	5.734459
43.579102	5.728193
43.678000	5.725847
43.945312	5.719438
44.044000	5.717046
44.311523	5.710493
44.410000	5.708055
44.677734	5.701357
44.777000	5.698848
45.043945	5.692028
45.143000	5.689471
45.410156	5.682505
45.509000	5.679901
45.776367	5.672786
45.875000	5.670135
46.142578	5.662870
46.242000	5.660144
46.508789	5.652756
46.608000	5.649982
46.875000	5.642443
46.974000	5.639621
47.241211	5.631929
47.340000	5.629059
47.607422	5.621215
47.706000	5.618296
47.973633	5.610298
48.073000	5.607300
48.339844	5.599177
48.439000	5.596131
48.706055	5.587853
48.805000	5.584758
49.072266	5.576324
49.171000	5.573181
49.438477	5.564590
49.537000	5.561398
49.804688	5.552650
49.904000	5.549376
50.000000	5.546197
50.170898	5.540503
50.270000	5.537180
50.537109	5.528149
50.636000	5.524778
50.903320	5.515588
51.002000	5.512168
51.269531	5.502820
51.368000	5.499351
51.635742	5.489844
51.735000	5.486291
52.001953	5.476660
52.101000	5.473058
52.368164	5.463268
52.467000	5.459618
52.734375	5.449668
52.833000	5.445970
53.100586	5.435861
53.199000	5.432115
53.466797	5.421846
53.566000	5.418013
53.833008	5.407623
53.932000	5.403743
54.199219	5.393194
54.298000	5.389267
54.565430	5.378558
54.664000	5.374584
54.931641	5.363717
55.031000	5.359655
55.297852	5.348670
55.397000	5.344561
55.664062	5.333419
