FREQ	GAIN
20.000000	5.987328
20.141602	5.986966
20.507812	5.985995
20.874023	5.984970
21.240234	5.983891
21.339000	5.983590
21.606445	5.982755
21.705000	5.982439
21.972656	5.981560
22.072000	5.981225
22.338867	5.980304
22.438000	5.979953
22.705078	5.978986
22.804000	5.978619
23.071289	5.977603
23.170000	5.977219
23.437500	5.976153
23.537000	5.975747
23.803711	5.974635
23.903000	5.974211
24.169922	5.973046
24.269000	5.972603
24.536133	5.971384
24.635000	5.970922
24.902344	5.969647
25.001000	5.969166
25.268555	5.967833
25.368000	5.967327
25.634766	5.965940
25.734000	5.965413
26.000977	5.963965
26.100000	5.963417
26.367188	5.961907
26.466000	5.961337
26.733398	5.959763
26.832000	5.959171
27.099609	5.957531
27.199000	5.956909
27.465820	5.955208
27.565000	5.954563
27.832031	5.952793
27.931000	5.952124
28.198242	5.950283
28.297000	5.949590
28.564453	5.947676
28.663000	5.946958
28.930664	5.944970
29.030000	5.944218
29.296875	5.942162
29.396000	5.941384
29.663086	5.939249
29.762000	5.938445
30.000000	5.936476
30.029297	5.936231
30.128000	5.935399
30.395508	5.933103
30.495000	5.932235
30.761719	5.929865
30.861000	5.928967
31.127930	5.926513
31.227000	5.925586
31.494141	5.923045
31.593000	5.922089
31.860352	5.919459
31.959000	5.918473
32.226562	5.915752
32.326000	5.914725
32.592773	5.911923
32.692000	5.910864
32.958984	5.907968
33.058000	5.906877
33.325195	5.903886
33.424000	5.902762
33.691406	5.899673
33.790000	5.898517
34.057617	5.895329
34.157000	5.894126
34.423828	5.890849
34.523000	5.889612
34.790039	5.886232
34.889000	5.884961
35.156250	5.881476
35.255000	5.880170
35.522461	5.876579
35.621000	5.875236
35.888672	5.871537
35.988000	5.870144
36.254883	5.866349
36.354000	5.864919
36.621094	5.861012
36.720000	5.859545
36.987305	5.855524
37.086000	5.854019
37.353516	5.849883
37.452000	5.848340
37.719727	5.844087
37.819000	5.842489
38.085938	5.838134
38.185000	5.836496
38.452148	5.832020
38.551000	5.830342
38.818359	5.825745
38.917000	5.824026
39.184570	5.819305
39.284000	5.817528
39.550781	5.812700
39.650000	5.810881
39.916992	5.805926
40.000000	5.804367
40.016000	5.804066
40.283203	5.798982
40.382000	5.797080
40.649414	5.791866
40.748000	5.789921
41.015625	5.784576
41.115000	5.782567
41.381836	5.777110
41.481000	5.775057
41.748047	5.769465
41.847000	5.767369
42.114258	5.761641
42.213000	5.759500
42.480469	5.753635
42.579000	5.751450
42.846680	5.745446
42.946000	5.743193
43.212891	5.737072
43.312000	5.734773
43.579102	5.728511
43.678000	5.726167
43.945312	5.719761
44.044000	5.717371
44.311523	5.710822
44.410000	5.708386
44.677734	5.701691
44.777000	5.699183
45.043945	5.692368
45.143000	5.689813
45.410156	5.682850
45.509000	5.680248
45.776367	5.673137
45.875000	5.670487
