*--JBL Synthesis curve
*	with target as
*	(
*	SELECT "Freq" FROM "TARGET_CURVE_DATA"
*	where prefered is not null
*	union
*	SELECT "Freq" FROM "cat_preftunefreq"
*	)
*	SELECT "Freq"
*	,0
*	+df_lowshelf	(freq,48000	,   21.875, -2.6,0)
*	+df_lowshelf	(freq,48000	,   43.750, 6.3,0)
*	+df_lowshelf	(freq,48000	,   87.500, 2.5,0)
*	+df_highshelf	(freq,48000	,   87.500,-0.2,0)
*	+df_highshelf	(freq,48000	,  175.000, 0.1,0)
*	+df_highshelf	(freq,48000	,  350.000, 0.0,0)
*	+df_highshelf	(freq,48000	,  700.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 1400.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 2800.000,-0.7,0)
*	+df_highshelf	(freq,48000	, 5600.000,-0.6,0)
*	+df_highshelf	(freq,48000	,11200.000,-0.7,0)
*	as SPL
*	FROM target order by freq
*Freq	SPL
17.324000	6.706965
18.354000	6.796963
19.445000	6.893896
20.507812	6.986945
20.602000	6.995025
20.874023	7.018157
21.606445	7.078605
21.827000	7.096191
21.972656	7.107629
23.071289	7.188733
23.125000	7.192441
23.437500	7.213491
24.169922	7.259139
24.500000	7.277917
24.536133	7.279902
25.634766	7.333325
25.957000	7.346358
26.000977	7.348041
27.465820	7.390716
27.500000	7.391397
27.832031	7.397261
28.930664	7.406919
29.135000	7.407071
29.296875	7.406828
30.761719	7.390219
30.868000	7.388022
31.127930	7.382096
32.592773	7.334410
32.703000	7.329870
32.958984	7.318828
34.423828	7.242771
34.648000	7.229279
34.790039	7.220487
36.621094	7.091175
36.708000	7.084341
36.987305	7.061980
38.818359	6.901310
38.891000	6.894469
39.184570	6.866486
41.015625	6.680850
41.203000	6.660876
41.381836	6.641659
43.579102	6.394836
43.654000	6.386118
43.945312	6.352046
46.142578	6.088060
46.249000	6.075020
46.508789	6.043110
48.706055	5.769963
48.999000	5.733260
49.072266	5.724075
51.635742	5.402564
51.913000	5.367909
52.001953	5.356801
54.931637	4.995021
54.931641	4.995021
55.000000	4.986699
55.297848	4.950520
55.297852	4.950519
58.227535	4.602224
58.227539	4.602224
58.270000	4.597287
58.593746	4.559761
58.593750	4.559760
61.523434	4.229718
61.523438	4.229718
61.735000	4.206579
61.889645	4.189726
61.889648	4.189725
65.185547	3.842992
65.406000	3.820658
65.551758	3.805950
69.213867	3.451838
69.296000	3.444233
69.580078	3.418039
73.242188	3.095664
73.416000	3.081052
73.608398	3.064950
77.636719	2.744470
77.782000	2.733488
78.002930	2.716863
82.397461	2.404224
82.407000	2.403582
82.763672	2.379667
87.158195	2.101749
87.158203	2.101749
87.307000	2.092861
87.524406	2.079936
87.524414	2.079935
92.285149	1.813961
92.285156	1.813960
92.499000	1.802752
92.651360	1.794803
92.651367	1.794803
97.778313	1.544761
97.778320	1.544761
97.999000	1.534730
98.144524	1.528146
98.144531	1.528146
103.637688	1.297344
103.637695	1.297344
103.830000	1.289863
104.003899	1.283131
104.003906	1.283131
109.863274	1.074031
109.863281	1.074031
110.000000	1.069544
110.229485	1.062050
110.229492	1.062050
116.455070	0.876119
116.455078	0.876119
116.540000	0.873802
116.821281	0.866169
116.821289	0.866168
123.413078	0.703818
123.413086	0.703818
123.470000	0.702546
123.779289	0.695672
123.779297	0.695672
130.737305	0.556319
130.810000	0.555007
131.103516	0.549740
138.427734	0.431986
138.590000	0.429653
138.793945	0.426737
146.484375	0.328605
146.830000	0.324693
146.850586	0.324462
155.273422	0.240409
155.273438	0.240408
155.560000	0.237895
155.639633	0.237200
155.639648	0.237200
164.794907	0.167025
164.794922	0.167025
164.810000	0.166924
165.161118	0.164581
165.161133	0.164581
174.316391	0.110966
174.316406	0.110966
174.610000	0.109462
174.682602	0.109092
174.682617	0.109092
184.936508	0.063508
184.936523	0.063508
185.000000	0.063263
185.302719	0.062100
185.302734	0.062100
195.922836	0.026576
195.922852	0.026576
196.000000	0.026351
196.289047	0.025514
196.289062	0.025514
207.641586	-0.003097
207.641602	-0.003097
207.650000	-0.003115
208.007797	-0.003897
208.007812	-0.003897
219.726547	-0.026279
219.726562	-0.026279
220.000000	-0.026736
220.092758	-0.026890
220.092773	-0.026890
232.910141	-0.045608
232.910156	-0.045608
233.080000	-0.045826
233.276352	-0.046076
233.276367	-0.046076
246.826157	-0.061407
246.826172	-0.061407
246.940000	-0.061521
247.192368	-0.061774
247.192383	-0.061774
261.474609	-0.074638
261.630000	-0.074765
261.840820	-0.074936
276.855438	-0.086109
276.855469	-0.086109
277.180000	-0.086332
277.221649	-0.086360
277.221680	-0.086360
293.334930	-0.096715
293.334961	-0.096715
293.660000	-0.096913
293.701141	-0.096938
293.701172	-0.096938
310.913055	-0.106976
310.913086	-0.106977
311.130000	-0.107099
311.279266	-0.107184
311.279297	-0.107184
329.589813	-0.117393
329.589844	-0.117393
329.630000	-0.117415
329.956024	-0.117596
329.956055	-0.117596
348.998993	-0.128234
348.999023	-0.128234
349.230000	-0.128365
349.365204	-0.128442
349.365234	-0.128442
369.873016	-0.140358
369.873047	-0.140358
369.990000	-0.140428
370.239227	-0.140577
370.239258	-0.140577
391.845673	-0.153989
391.845703	-0.153989
392.000000	-0.154088
392.211884	-0.154225
392.211914	-0.154225
415.283173	-0.169775
415.283203	-0.169775
415.300000	-0.169787
415.649384	-0.170033
415.649414	-0.170033
439.819305	-0.187848
439.819336	-0.187848
440.000000	-0.187987
440.185516	-0.188130
440.185547	-0.188130
465.820282	-0.208791
465.820312	-0.208791
466.160000	-0.209077
466.186493	-0.209099
466.186523	-0.209099
493.652313	-0.233189
493.652344	-0.233189
493.880000	-0.233397
494.018524	-0.233523
494.018555	-0.233523
522.949219	-0.260878
523.250000	-0.261172
523.315430	-0.261235
554.077087	-0.292178
554.077148	-0.292178
554.370000	-0.292480
554.443298	-0.292556
554.443359	-0.292556
587.036072	-0.326894
587.036133	-0.326894
587.330000	-0.327209
587.402283	-0.327286
587.402344	-0.327286
622.192322	-0.365018
